name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength
'../Datasets/UltraSuite/core-upx/core/01F/BL1/003A.wav01F';0.000000;4.332763e+01;1.688314e-01;4.048014e+01;4.285136e+01;4.663664e+01;6.156498e+00;2.542605e+02;2.282275e+02;5.868604e+01;3.850684e+01;9.681557e-01;9.619529e-01;2.841498e-01;6.132975e-01;1.641136e+00;1.356986e+00;1.238058e+01;6.412597e+00;8.877840e+00;3.207072e+00;3.409209e-02;8.575367e-01;1.438949e+00;8.269104e-01;7.199621e+00;6.889784e-01;4.544958e+00;2.943749e+00;1.732254e+01;8.946512e-01;7.270602e+02;3.505221e-01;1.148463e+03;2.546926e-01;-1.376770e+02;-6.379835e-01;1.760521e+03;1.663767e-01;-1.146344e+02;-7.513528e-01;2.822239e+03;1.369869e-01;-1.167727e+02;-7.211934e-01;-7.243385e+00;-1.317188e+00;1.654216e+01;7.434865e-01;6.078329e-02;6.561897e-01;-1.138228e-02;-1.678407e+00;-3.153452e+00;9.801365e+00;7.241699e-03;-5.187195e-03;2.941176e+00;3.745319e+00;1.150000e-01;9.962429e-02;1.320000e-01;1.309045e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/003A.wav01F';0.000000;3.907775e+01;2.006740e-01;3.791520e+01;4.178232e+01;4.304259e+01;5.127396e+00;7.206795e+01;2.839657e+00;4.965908e+00;1.079979e+01;1.059895e+00;1.109074e+00;1.668020e-01;3.881215e-01;2.092694e+00;1.925892e+00;1.907911e+01;1.699891e+01;9.588008e+00;8.630877e+00;2.046640e-02;1.552387e+00;6.335185e-01;1.036983e+00;1.139496e+01;4.855196e-01;7.598413e+00;1.160060e+00;2.051217e+01;4.244266e-01;6.727075e+02;2.908954e-01;1.265820e+03;1.909667e-01;-1.363462e+02;-6.433019e-01;1.723020e+03;2.159963e-01;-1.262589e+02;-6.821931e-01;2.852004e+03;1.565775e-01;-1.284592e+02;-6.491791e-01;-1.588697e+01;-5.983075e-01;2.569108e+01;4.272139e-01;7.762134e-02;5.389302e-01;-2.141795e-02;-7.732905e-01;-5.413635e+00;1.277126e+01;-2.432443e-02;-3.148918e-03;2.373887e+00;1.208459e+00;3.400000e-01;2.904307e-01;4.675000e-01;5.344799e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/003A.wav01F';0.000000;0;0;0;0;0;0;0;0;0;0;3.454398e-01;6.253146e-01;2.000045e-01;2.656840e-01;4.380578e-01;2.380533e-01;5.014349e+00;2.757118e+00;5.544734e+00;3.728746e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-3.493785e-02;6.156175e+00;-1.470380e-02;-1.620380e-03;4;0;0;0;9.400000e-01;0
'../Datasets/UltraSuite/core-upx/core/01F/BL1/003A.wav01F';0.000000;4.170950e+01;4.677125e-02;4.088301e+01;4.165877e+01;4.301228e+01;2.129272e+00;1.765678e+01;8.722103e+00;1.427683e+01;2.197035e+01;1.625290e+00;5.667638e-01;7.130464e-01;1.525305e+00;2.255657e+00;1.542611e+00;2.856245e+00;5.903001e+00;9.738609e+00;0;1.707200e-02;7.953168e-01;6.457182e-01;8.140959e-01;1.352442e+01;2.044998e-01;7.641247e+00;9.401126e-01;1.502443e+01;5.650094e-01;8.427541e+02;2.931968e-01;1.159140e+03;1.934284e-01;-7.209686e+01;-1.033733e+00;2.013637e+03;1.654442e-01;-7.244480e+01;-9.018887e-01;2.993583e+03;7.960383e-02;-7.115646e+01;-9.271885e-01;-1.957969e+01;-4.568556e-01;2.742042e+01;3.843751e-01;8.718997e-02;1.889903e-01;-1.870713e-02;-6.906886e-01;1.000976e+01;-7.746414e+00;4.842012e-03;-5.136198e-03;1.219512e+00;1.315789e+00;5.900000e-01;0;1.500000e-01;0
'../Datasets/UltraSuite/core-upx/core/01F/BL1/004A.wav01F';0.000000;4.107560e+01;8.519186e-02;3.703917e+01;4.128691e+01;4.488125e+01;7.842083e+00;9.408986e+01;0;1.990832e+01;3.516570e+01;1.133080e+00;9.084316e-01;5.105272e-01;6.825550e-01;1.758481e+00;1.247954e+00;1.024701e+01;3.248555e+00;6.951151e+00;3.795615e+00;2.291308e-02;1.689802e+00;9.310935e-01;8.550965e-01;9.926785e+00;3.831543e-01;5.146052e+00;2.174184e+00;1.401410e+01;7.722826e-01;6.597734e+02;3.766328e-01;1.194985e+03;2.274478e-01;-1.608776e+02;-4.826628e-01;1.714895e+03;1.621292e-01;-1.407536e+02;-6.057506e-01;2.631679e+03;1.651532e-01;-1.411203e+02;-5.958103e-01;-8.731854e+00;-7.633210e-01;1.285548e+01;6.940046e-01;7.448337e-02;4.675669e-01;-1.850410e-02;-7.209554e-01;-2.945707e+00;1.029638e+01;1.257875e-02;-7.818931e-03;2.116402e+00;1.639344e+00;1.900000e-01;1.768238e-01;6.050000e-01;3.850000e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/004A.wav01F';0.000000;3.840585e+01;2.354795e-01;3.624078e+01;4.110777e+01;4.389424e+01;7.653458e+00;5.074540e+02;6.303912e+02;6.040549e+01;3.842442e+01;8.222885e-01;1.222557e+00;1.806516e-01;3.886261e-01;1.189084e+00;1.008433e+00;1.662755e+01;1.606936e+01;1.102884e+01;8.866815e+00;2.713271e-02;1.502275e+00;9.370446e-01;9.140368e-01;9.913314e+00;6.182858e-01;6.559625e+00;2.669421e+00;2.039804e+01;6.858293e-01;7.353417e+02;3.139113e-01;1.210913e+03;2.048515e-01;-1.474348e+02;-5.538487e-01;1.738229e+03;1.645260e-01;-1.401383e+02;-5.771537e-01;2.871939e+03;1.522243e-01;-1.423637e+02;-5.455063e-01;-1.347784e+01;-6.910810e-01;2.472857e+01;3.638187e-01;6.572129e-02;7.132646e-01;-1.623478e-02;-1.229805e+00;-3.948176e+00;1.057879e+01;1.019094e-03;-6.148182e-03;1.477105e+00;2.083333e+00;1.550000e-01;1.823556e-01;3.035714e-01;2.229224e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/005A.wav01F';0.000000;4.154593e+01;1.200927e-01;3.977583e+01;4.088118e+01;4.434766e+01;4.571831e+00;1.952410e+02;1.880977e+02;9.510551e+01;7.337756e+01;9.952257e-01;8.199586e-01;3.420609e-01;7.140341e-01;1.556527e+00;1.214466e+00;1.835127e+01;1.101347e+01;1.514264e+01;8.224558e+00;3.763564e-02;1.519160e+00;1.372573e+00;7.942285e-01;8.092997e+00;7.261912e-01;6.550261e+00;1.400613e+00;2.032689e+01;6.672676e-01;7.218655e+02;3.340701e-01;1.162720e+03;1.809553e-01;-1.514516e+02;-5.207952e-01;1.857351e+03;2.084590e-01;-1.408121e+02;-5.604830e-01;2.895214e+03;1.362620e-01;-1.407499e+02;-5.514773e-01;-1.455091e+01;-6.754875e-01;2.266397e+01;5.746549e-01;6.750065e-02;5.558316e-01;-2.699555e-02;-5.384784e-01;-3.620942e+00;1.036620e+01;1.162524e-02;-1.019144e-02;4.555315e+00;2.850877e+00;1.123077e-01;7.546306e-02;2.358333e-01;1.981774e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/005A.wav01F';0.000000;3.665800e+01;1.961848e-01;3.752985e+01;3.823799e+01;4.035300e+01;2.823158e+00;1.679729e+01;8.815641e+01;2.513059e+01;0;5.834097e-01;1.095788e+00;1.732734e-01;3.384224e-01;8.577290e-01;6.844556e-01;7.650445e+00;3.833191e+00;3.286170e+00;1.725703e+00;4.167632e-02;2.256815e+00;5.733050e-01;1.259333e+00;1.005484e+01;6.961785e-01;2.029586e+00;1.646198e+01;3.042680e+01;1.290191e+00;6.196539e+02;3.255310e-01;1.339582e+03;1.389964e-01;-1.706134e+02;-3.877038e-01;1.647701e+03;2.330790e-01;-1.597261e+02;-4.465126e-01;2.851102e+03;9.585880e-02;-1.622699e+02;-4.116271e-01;-2.490732e+01;-2.828988e-01;3.698944e+01;2.237487e-01;6.607138e-02;5.557120e-01;-4.653290e-02;-3.555412e-01;-3.951338e+00;1.165280e+01;-1.128003e-02;-7.166994e-04;1.428571e+00;9.756098e-01;2.400000e-01;2.100000e-01;5.066667e-01;4.349202e-01
'../Datasets/UltraSuite/core-upx/core/01F/BL1/005A.wav01F';0.000000;3.827753e+01;7.738849e-02;3.573845e+01;3.646043e+01;4.228730e+01;6.548847e+00;1.436311e+02;0;-7.445468e+00;1.316034e+01;9.153231e-01;8.361657e-01;2.588581e-01;6.460674e-01;1.702488e+00;1.443630e+00;1.577049e+01;1.049196e+01;-2.168921e+00;4.951830e+00;2.646862e-02;9.039640e-01;1.008186e+00;1.048304e+00;9.555655e+00;4.374282e-01;9.006133e+00;3.349981e-01;1.766638e+01;5.086446e-01;6.882792e+02;4.014911e-01;1.151560e+03;1.994793e-01;-1.040684e+02;-8.685896e-01;1.842808e+03;1.464720e-01;-9.455064e+01;-8.181065e-01;2.826899e+03;1.121350e-01;-9.452348e+01;-8.156195e-01;-1.289894e+01;-6.058148e-01;1.808374e+01;5.432245e-01;4.409224e-02;1.009555e+00;-2.422987e-02;-5.190895e-01;-5.359321e+00;1.052008e+01;-1.365878e-02;-1.272650e-02;3.508772e+00;3.921569e+00;1.500000e-01;4.000000e-02;8.500000e-02;3.500000e-02
'../Datasets/UltraSuite/core-upx/core/01F/BL1/006A.wav01F';0.000000;4.079756e+01;1.474764e-01;3.762444e+01;4.178973e+01;4.298136e+01;5.356922e+00;8.430984e+01;3.995542e+01;2.084199e+02;1.752047e+02;1.010094e+00;7.093220e-01;4.196815e-01;7.709778e-01;1.467343e+00;1.047661e+00;1.076581e+01;5.770200e+00;9.681805e+00;5.917190e+00;2.232697e-02;1.116322e+00;9.963543e-01;6.974924e-01;1.012620e+01;4.156627e-01;3.975514e+00;3.349981e+00;2.113210e+01;7.189429e-01;7.412694e+02;1.986141e-01;1.168814e+03;2.058795e-01;-1.399525e+02;-6.341334e-01;1.743839e+03;1.657067e-01;-1.347960e+02;-6.298398e-01;2.952560e+03;1.411833e-01;-1.359867e+02;-6.072019e-01;-1.159770e+01;-1.032375e+00;2.215817e+01;7.074670e-01;6.640891e-02;4.740531e-01;-2.115500e-02;-7.806380e-01;-3.744259e+00;1.073326e+01;1.039731e-02;-7.341502e-03;4.739336e+00;2.439024e+00;1.400000e-01;1.754993e-01;4.166667e-01;2.107658e-01
