name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A.wav01M';0.000000;3.691885e+01;4.492969e-02;3.539009e+01;3.701707e+01;3.838329e+01;2.993195e+00;1.138784e+02;8.461704e+01;2.607172e+01;8.675688e+00;2.474158e-01;6.957137e-01;8.265570e-02;2.087647e-01;4.036781e-01;3.210225e-01;3.817476e+00;2.687369e+00;2.513907e+00;1.620570e+00;2.532384e-02;1.342931e+00;1.008244e+00;8.516648e-01;9.070442e+00;3.636873e-01;1.322749e+00;5.868846e+00;1.559990e+01;5.638152e-01;6.868915e+02;2.428647e-01;1.232203e+03;2.169153e-01;-1.215107e+02;-7.578074e-01;1.756275e+03;1.735095e-01;-1.208545e+02;-7.216106e-01;2.911236e+03;1.310771e-01;-1.228498e+02;-6.895808e-01;-1.229377e+01;-5.710602e-01;1.748016e+01;4.933743e-01;9.408436e-02;2.758869e-01;-2.738664e-02;-3.763189e-01;-1.920707e+00;8.255950e+00;3.336284e-02;-8.338407e-03;7.377049e+00;1.709402e+00;2.500000e-01;4.000000e-02;2.066666e-01;8.576453e-02
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A.wav01M';0.000000;3.632059e+01;2.711909e-02;3.521973e+01;3.674072e+01;3.703784e+01;1.818111e+00;1.147662e+02;1.237812e+02;6.554774e+00;5.845423e+00;2.290647e-01;6.668180e-01;8.083733e-02;1.826923e-01;4.026189e-01;3.217816e-01;2.750383e+00;2.376152e+00;1.267176e+00;1.018191e+00;1.241234e-02;1.185949e+00;9.020336e-01;1.123359e+00;1.090527e+01;3.134210e-01;1.209205e+00;4.947132e+00;1.900571e+01;3.924028e-01;6.523613e+02;2.461759e-01;1.258823e+03;1.917955e-01;-1.237094e+02;-7.546245e-01;1.670143e+03;1.835887e-01;-1.241831e+02;-7.015796e-01;2.835651e+03;1.797895e-01;-1.263550e+02;-6.695519e-01;-1.526653e+01;-4.059105e-01;2.325972e+01;2.986741e-01;9.403896e-02;3.582436e-01;-2.584835e-02;-5.155974e-01;-2.396762e+00;8.386908e+00;2.886388e-02;-8.884944e-03;4.716981e+00;1.456311e+00;2.833333e-01;1.892676e-01;1.130000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A.wav01M';0.000000;3.737469e+01;2.560439e-02;3.670068e+01;3.699960e+01;3.812668e+01;1.426006e+00;-1.143830e+01;0;1.036611e+01;0;1.659893e-01;4.979356e-01;9.434220e-02;1.469544e-01;2.381331e-01;1.437909e-01;1.900172e+00;1.055525e+00;1.773392e+00;1.525069e+00;9.675647e-03;9.120770e-01;7.012020e-01;1.245838e+00;1.265074e+01;1.294252e-01;5.285376e+00;1.370010e+00;2.503817e+01;3.387593e-01;7.253646e+02;1.684531e-01;1.171550e+03;1.477302e-01;-1.652812e+02;-4.457068e-01;2.012568e+03;1.310314e-01;-1.662193e+02;-4.078396e-01;3.083587e+03;9.580792e-02;-1.663800e+02;-4.056713e-01;-2.109731e+01;-2.974806e-01;2.770488e+01;3.267099e-01;8.782938e-02;1.989669e-01;-3.757631e-02;-1.569226e-01;3.156464e+00;2.716784e+00;2.057861e-02;-6.566054e-03;4.306220e+00;4.926108e-01;4.100000e-01;0;1.600000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A.wav01M';0.000000;0;0;0;0;0;0;0;0;0;0;1.085315e-01;4.659532e-01;6.689077e-02;9.701913e-02;1.431109e-01;7.622018e-02;1.469980e+00;1.001780e+00;5.445732e-01;4.616516e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;3.867827e+00;2.058386e+00;5.066750e-03;7.216893e-04;4.210526e+00;0;0;0;1.840000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A.wav01M';0.000000;2.812176e+01;1.056980e-01;2.495442e+01;2.804832e+01;3.133949e+01;6.385065e+00;9.653219e+00;0;8.492313e+01;0;1.179372e-01;1.021283e+00;4.380199e-02;6.705039e-02;1.481736e-01;1.043717e-01;4.677220e+00;4.445978e+00;8.503805e-01;2.388937e+00;1.460666e-01;5.414140e-01;2.286833e+00;5.316288e-01;-1.616682e+00;-6.360407e-01;-7.804908e+00;-5.402873e-01;2.078959e+01;2.402193e-01;4.597191e+02;4.239193e-01;1.214606e+03;1.899877e-01;-1.879725e+02;-2.591834e-01;1.387727e+03;2.033884e-01;-1.860990e+02;-2.760365e-01;2.609810e+03;9.323729e-02;-1.874160e+02;-2.492840e-01;-1.355563e+01;-5.131060e-01;2.657018e+01;4.016166e-01;9.754080e-02;2.662618e-01;-4.175774e-02;-5.113268e-01;-1.568700e+00;9.097021e+00;3.231170e-03;-4.958215e-04;2.906977e+00;5.988024e-01;1.100000e-01;0;7.650000e-01;2.950000e-01
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A.wav01M';0.000000;3.650007e+01;2.216581e-02;3.581684e+01;3.603800e+01;3.742301e+01;1.606167e+00;-1.507037e-01;3.739510e+00;1.250831e+01;4.428179e+00;2.205645e-01;7.924032e-01;7.043507e-02;1.578376e-01;3.667121e-01;2.962770e-01;3.595527e+00;3.440830e+00;1.189546e+00;8.342878e-01;1.238358e-02;1.380305e+00;7.438142e-01;1.396511e+00;1.147414e+01;1.357518e-01;1.195690e+00;5.312153e+00;2.068548e+01;3.244109e-01;6.376374e+02;2.186254e-01;1.147936e+03;1.650966e-01;-1.398795e+02;-6.469356e-01;1.910369e+03;1.783352e-01;-1.382852e+02;-6.107869e-01;2.917892e+03;1.526160e-01;-1.394616e+02;-5.946938e-01;-1.473834e+01;-3.084086e-01;2.180136e+01;3.049717e-01;1.085727e-01;1.517587e-01;-3.213359e-02;-1.970095e-01;-2.397906e+00;9.680253e+00;2.294218e-02;-3.935431e-03;3.053435e+00;7.936508e-01;4.300000e-01;0;4.000000e-01;3.600000e-01
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A.wav01M';0.000000;3.671442e+01;2.361307e-02;3.576343e+01;3.667971e+01;3.726132e+01;1.497890e+00;3.264073e+00;0;8.794961e+00;0;4.719929e-01;4.078863e-01;2.880070e-01;5.095125e-01;6.660111e-01;3.780041e-01;3.147575e+00;1.753087e+00;2.444975e+00;4.492030e-01;1.156923e-02;1.659413e+00;8.099360e-01;8.175453e-01;1.011922e+01;2.541496e-01;-1.890273e+00;-3.942067e+00;5.862689e+00;2.108268e+00;4.678085e+02;1.851506e-01;1.276599e+03;2.020847e-01;-5.881628e+01;-1.430580e+00;1.388860e+03;1.129588e-01;-5.544004e+01;-1.458916e+00;2.086578e+03;1.088953e-01;-5.830296e+01;-1.362420e+00;-4.952079e+00;-1.282059e+00;1.755425e+01;4.098453e-01;9.256880e-02;2.377736e-01;-2.260504e-03;-6.116765e+00;5.722142e+00;-9.250537e-01;3.390249e-02;3.224495e-03;4.411765e+00;1.612903e+00;4.600000e-01;0;1.400000e-01;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A.wav01M';0.000000;3.556461e+01;2.915093e-02;3.501818e+01;3.575258e+01;3.619320e+01;1.175022e+00;2.421017e+01;0;-5.168756e+00;1.619427e+01;1.967026e-01;5.849859e-01;9.302732e-02;1.714393e-01;2.799554e-01;1.869281e-01;1.743909e+00;3.920899e-01;1.002687e+00;0;2.115603e-02;9.539282e-01;8.268669e-01;9.082577e-01;9.473611e+00;2.980032e-01;8.349255e+00;1.340080e+00;2.096832e+01;4.756831e-01;6.474623e+02;3.113306e-01;1.385534e+03;1.985608e-01;-7.638306e+01;-1.130546e+00;1.569866e+03;1.806705e-01;-7.766227e+01;-1.038123e+00;2.626059e+03;1.287603e-01;-8.348750e+01;-9.144767e-01;-1.250310e+01;-7.733442e-01;2.413751e+01;2.892824e-01;7.878872e-02;3.833247e-01;-7.106183e-03;-2.920168e+00;-8.063828e-01;8.284954e+00;1.642108e-02;-1.732086e-03;1.369863e+00;1.470588e+00;4.600000e-01;0;9.500000e-02;5.500000e-02
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/003A.wav01M';0.000000;0;0;0;0;0;0;0;0;0;0;8.525611e-02;6.097947e-01;4.744328e-02;5.850279e-02;1.232896e-01;7.584628e-02;1.430059e+00;1.004024e+00;1.967227e+00;9.409304e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-2.136735e+00;1.048034e+01;1.318766e-02;2.527823e-03;4.697987e+00;0;0;0;1.430000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/003A.wav01M';0.000000;3.948979e+01;4.986374e-01;1.987844e+01;3.991968e+01;5.919131e+01;3.931286e+01;9.627045e+02;0;-4.353765e+01;0;1.495798e-01;1.003440e+00;6.016269e-02;8.367299e-02;1.705999e-01;1.104372e-01;1.985189e+00;1.794508e+00;1.208080e+00;3.119377e-01;9.710582e-02;9.878759e-01;1.754882e+00;5.464663e-01;-5.906054e+00;-3.668480e-01;2.367321e+00;1.484822e+00;6.585467e-01;3.266734e+01;6.801211e+02;2.001052e-01;5.519005e+02;6.880032e-01;-1.944071e+02;-1.626201e-01;1.895120e+03;1.719581e-01;-1.888257e+02;-2.174869e-01;3.044336e+03;1.529556e-01;-1.879010e+02;-2.359983e-01;8.688127e+00;1.706744e+00;-7.441857e-01;-1.680569e+01;3.757182e-02;2.571999e-01;-1.224011e-02;-6.232155e-01;1.596944e+00;5.186635e+00;1.553211e-02;1.994403e-04;3.030303e+00;1.574803e+00;3.000000e-02;0;5.750000e-01;3.950000e-01
