name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A_16.wav01M';0.000000;3.697454e+01;4.368956e-02;3.570296e+01;3.705304e+01;3.835225e+01;2.649281e+00;3.416023e+01;0;2.028652e+01;3.053678e+00;2.212668e-01;6.981218e-01;7.449290e-02;1.874326e-01;3.579688e-01;2.834759e-01;3.785365e+00;3.112990e+00;2.232651e+00;1.479526e+00;3.069097e-02;1.365613e+00;1.052013e+00;9.623094e-01;9.625254e+00;2.691641e-01;1.729217e+00;4.613456e+00;1.392171e+01;6.018041e-01;8.013201e+02;7.886881e-02;1.174478e+03;1.260226e-01;-1.226351e+02;-7.498556e-01;1.854808e+03;6.696675e-02;-1.264327e+02;-6.803283e-01;2.659410e+03;6.417367e-02;-1.270944e+02;-6.695745e-01;-1.226365e+01;-5.786558e-01;1.759994e+01;5.127742e-01;6.809752e-02;1.824136e-01;-1.853240e-02;-5.003361e-01;-2.210033e+00;8.693788e+00;2.731738e-02;6.778774e-03;7.317073e+00;1.694915e+00;2.350000e-01;2.500000e-02;2.200000e-01;8.164965e-02
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A_16.wav01M';0.000000;3.632681e+01;2.661703e-02;3.519804e+01;3.675449e+01;3.703476e+01;1.836720e+00;1.224639e+02;1.032323e+02;5.699254e+00;5.168901e+00;2.061304e-01;6.662068e-01;7.266662e-02;1.723358e-01;3.605769e-01;2.879103e-01;2.465198e+00;2.136384e+00;1.229200e+00;7.396905e-01;1.024546e-02;1.351791e+00;7.407884e-01;1.070096e+00;1.144732e+01;2.267760e-01;8.109276e-01;7.183165e+00;2.288211e+01;3.403489e-01;7.983989e+02;1.047677e-01;1.322467e+03;1.240439e-01;-1.256371e+02;-7.309120e-01;1.799591e+03;9.640998e-02;-1.281469e+02;-6.741790e-01;2.698590e+03;8.154521e-02;-1.316332e+02;-6.242238e-01;-1.535828e+01;-3.662683e-01;2.338838e+01;2.776403e-01;6.761634e-02;3.305005e-01;-1.823842e-02;-8.076450e-01;-2.470501e+00;8.600576e+00;2.446421e-02;6.780997e-03;4.694836e+00;1.449275e+00;2.700000e-01;1.818424e-01;4.000000e-01;5.303458e-01
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A_16.wav01M';0.000000;3.738296e+01;2.736936e-02;3.669015e+01;3.702918e+01;3.816262e+01;1.472469e+00;-1.270409e+01;0;1.065888e+01;0;1.489209e-01;4.997651e-01;8.545775e-02;1.310125e-01;2.135494e-01;1.280916e-01;1.647327e+00;9.417984e-01;1.530478e+00;1.182046e+00;1.233671e-02;1.355602e+00;6.618401e-01;1.055563e+00;1.256533e+01;1.329985e-01;5.429788e+00;1.339997e+00;2.493501e+01;3.444549e-01;7.995459e+02;5.341533e-02;1.133979e+03;7.816135e-02;-1.625742e+02;-4.617867e-01;1.938228e+03;8.022757e-02;-1.656794e+02;-4.108329e-01;2.817766e+03;6.101086e-02;-1.656999e+02;-4.104866e-01;-2.091523e+01;-3.115956e-01;2.766102e+01;3.323889e-01;6.712802e-02;1.989212e-01;-2.453027e-02;-3.058130e-01;3.390066e+00;2.646649e+00;1.849550e-02;9.513670e-03;4.285715e+00;4.901961e-01;4.200000e-01;0;1.600000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/001A_16.wav01M';0.000000;0;0;0;0;0;0;0;0;0;0;9.759469e-02;4.653348e-01;6.049536e-02;8.849109e-02;1.282178e-01;6.772240e-02;1.342922e+00;9.080496e-01;5.044591e-01;4.080994e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;4.184715e+00;1.966475e+00;1.164244e-02;1.785638e-02;4.188482e+00;0;0;0;1.850000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A_16.wav01M';0.000000;3.127007e+01;1.269250e-03;3.124042e+01;3.126266e+01;3.129824e+01;5.781937e-02;0;0;-3.212230e-02;0;1.062277e-01;1.022446e+00;3.941045e-02;6.103000e-02;1.328254e-01;9.341500e-02;4.309325e+00;4.001764e+00;8.125942e-01;1.936512e+00;5.810348e-02;0;4.703338e+00;8.060962e-02;-2.348404e-01;-6.540859e+00;-4.368176e+00;-1.530216e-01;2.575521e+01;2.735016e-02;7.240084e+02;8.343652e-02;1.845351e+03;2.136465e-01;-1.970197e+02;-1.252790e-01;1.500506e+03;5.382608e-02;-1.974244e+02;-1.121398e-01;2.556145e+03;1.180964e-02;-1.976391e+02;-1.053735e-01;-1.292326e+01;-6.786297e-02;2.464628e+01;1.074547e-01;8.036875e-02;1.164523e-01;-3.287140e-02;-1.163443e-01;-1.914015e+00;1.007167e+01;1.210122e-02;1.483589e-02;2.890173e+00;5.952381e-01;2.000000e-02;0;8.150000e-01;2.650000e-01
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A_16.wav01M';0.000000;3.652560e+01;2.216385e-02;3.584193e+01;3.604971e+01;3.744842e+01;1.606495e+00;-2.750921e-02;3.717450e+00;1.270640e+01;4.628537e+00;1.976796e-01;7.908057e-01;6.250475e-02;1.399425e-01;3.271780e-01;2.646732e-01;3.189622e+00;3.060190e+00;9.892780e-01;7.854513e-01;8.443517e-03;1.042446e+00;9.677451e-01;1.688051e+00;1.148635e+01;1.289797e-01;1.317728e+00;4.927106e+00;2.102640e+01;3.077456e-01;7.549200e+02;1.398630e-01;1.213831e+03;1.571787e-01;-1.353618e+02;-6.781001e-01;1.901594e+03;1.126919e-01;-1.399802e+02;-5.904006e-01;2.654577e+03;6.319756e-02;-1.400523e+02;-5.895796e-01;-1.465488e+01;-3.048794e-01;2.160472e+01;2.999677e-01;7.886035e-02;1.726974e-01;-2.271299e-02;-3.614506e-01;-2.219246e+00;9.363556e+00;1.938370e-02;1.154674e-02;3.030303e+00;7.874016e-01;4.300000e-01;0;4.050000e-01;3.650000e-01
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A_16.wav01M';0.000000;3.662116e+01;2.313770e-02;3.567663e+01;3.668500e+01;3.723457e+01;1.557945e+00;-6.232738e+00;0;8.265197e+00;0;4.216519e-01;4.102609e-01;2.615969e-01;4.531933e-01;5.974452e-01;3.358484e-01;2.602141e+00;1.645450e+00;2.198375e+00;4.046199e-01;1.019164e-02;1.871836e+00;7.690486e-01;9.792191e-01;1.004534e+01;2.515424e-01;-1.953142e+00;-3.610628e+00;1.655473e+01;6.637181e-01;7.348016e+02;1.601348e-01;1.416245e+03;9.457611e-02;-5.548312e+01;-1.540868e+00;1.666633e+03;5.369423e-02;-5.632137e+01;-1.461885e+00;2.526951e+03;4.767071e-02;-6.802395e+01;-1.112219e+00;-5.326154e+00;-1.128738e+00;1.763066e+01;3.682163e-01;6.976505e-02;2.971783e-01;6.113155e-03;2.283731e+00;6.126632e+00;-1.322692e+00;3.078591e-02;1.755441e-02;4.347826e+00;1.562500e+00;4.700000e-01;0;1.500000e-01;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/002A_16.wav01M';0.000000;3.558628e+01;2.908351e-02;3.501098e+01;3.577184e+01;3.621902e+01;1.208035e+00;2.422036e+01;0;-5.044223e+00;1.626781e+01;1.762919e-01;5.811242e-01;8.383515e-02;1.547601e-01;2.499215e-01;1.660863e-01;1.616994e+00;3.099087e-01;8.959489e-01;0;2.584154e-02;1.324416e+00;8.720367e-01;7.946582e-01;9.505299e+00;3.015024e-01;7.969213e+00;1.337994e+00;1.966261e+01;5.433930e-01;7.857988e+02;1.545547e-01;1.436873e+03;2.169725e-01;-7.722013e+01;-1.096484e+00;1.758138e+03;1.368926e-01;-8.084319e+01;-9.968039e-01;2.514102e+03;5.532849e-02;-8.434762e+01;-9.213253e-01;-1.243139e+01;-7.802730e-01;2.344296e+01;3.056622e-01;4.961462e-02;3.572205e-01;5.574918e-03;3.314200e+00;-8.209714e-01;7.998614e+00;1.289637e-02;1.687142e-02;1.351351e+00;1.449275e+00;4.600000e-01;0;9.999999e-02;5.000000e-02
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/003A_16.wav01M';0.000000;0;0;0;0;0;0;0;0;0;0;7.647650e-02;6.077281e-01;4.260783e-02;5.264924e-02;1.103074e-01;6.769954e-02;1.395209e+00;9.349108e-01;1.800626e+00;7.463375e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-2.054242e+00;1.025962e+01;1.291137e-02;2.036893e-02;4.666667e+00;0;0;0;1.440000e+00;0
'../Datasets/UltraSuite/core-uxssd/core/01M/BL1/003A_16.wav01M';0.000000;0;0;0;0;0;0;0;0;0;0;1.339526e-01;1.003823e+00;5.443856e-02;7.346254e-02;1.543546e-01;9.991609e-02;1.842920e+00;1.545333e+00;1.054446e+00;2.605540e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;2.089979e+00;4.753617e+00;1.801426e-02;1.578096e-02;3.007519e+00;0;0;0;1.270000e+00;0
