name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength
'../Datasets/UltraSuite/core-uxtd/core/23F/001B.wav23F';0.000000;3.803080e+01;1.759207e-02;3.754177e+01;3.798273e+01;3.831079e+01;7.690277e-01;7.947989e+00;8.615777e-01;2.215681e+00;8.666591e+00;2.328906e-01;1.162497e+00;4.933347e-02;5.722830e-02;5.240521e-01;4.747187e-01;2.313599e+00;1.809236e+00;2.156448e+00;6.588687e-01;1.320133e-02;8.698662e-01;9.918473e-01;9.200798e-01;1.040487e+01;3.254449e-01;-9.748835e-01;-4.148674e+00;2.115568e+01;2.455823e-01;7.895670e+02;1.537524e-01;1.168648e+03;8.734859e-02;-1.351410e+02;-6.773673e-01;1.685922e+03;5.096509e-02;-1.372348e+02;-6.373867e-01;2.960267e+03;6.814814e-02;-1.416953e+02;-5.735260e-01;-9.263992e+00;-3.215526e-01;2.265104e+01;1.899436e-01;9.283832e-02;2.983190e-01;-1.136138e-02;-5.440243e-01;-4.633969e+00;1.228686e+01;1.028699e-02;-6.587619e-05;9.950249e-01;1.030928e+00;3.200000e-01;7.000000e-02;6.300000e-01;4.000000e-01
'../Datasets/UltraSuite/core-uxtd/core/23F/002B.wav23F';0.000000;3.758291e+01;1.768158e-02;3.691669e+01;3.749287e+01;3.807109e+01;1.154404e+00;6.374111e+00;1.637600e+00;1.189155e+01;1.256856e+00;2.416461e-01;1.215351e+00;4.802152e-02;8.101619e-02;3.603744e-01;3.123528e-01;6.819156e+00;6.880927e+00;1.556276e+00;1.037091e+00;1.451680e-02;1.236975e+00;9.126934e-01;8.771825e-01;8.212403e+00;6.019128e-01;-2.292212e+00;-9.453102e-01;1.706573e+01;4.469212e-01;7.584095e+02;1.781037e-01;1.300901e+03;1.141011e-01;-1.635777e+02;-4.759146e-01;1.658850e+03;8.394126e-02;-1.629863e+02;-4.676154e-01;2.760879e+03;1.106770e-01;-1.656752e+02;-4.275806e-01;-5.995745e+00;-5.395499e-01;2.099840e+01;2.615095e-01;1.059218e-01;2.827916e-01;-4.313391e-03;-1.693081e+00;-2.535249e-01;7.571723e+00;1.224867e-02;2.785940e-03;8.849558e-01;6.006006e-01;3.150000e-01;7.500000e-02;1.330000e+00;1.140000e+00
'../Datasets/UltraSuite/core-uxtd/core/23F/003B.wav23F';0.000000;3.775841e+01;1.181011e-02;3.741720e+01;3.768098e+01;3.803379e+01;6.165886e-01;6.279789e+00;2.369039e+00;1.638284e+01;9.724918e+00;2.666406e-01;8.596367e-01;4.985674e-02;2.346823e-01;4.287775e-01;3.789208e-01;3.423082e+00;3.451146e+00;6.145335e-01;8.125577e-01;2.942252e-02;8.375741e-01;1.138481e+00;9.259245e-01;6.155722e+00;7.329636e-01;-1.093486e+00;-2.569474e+00;1.962923e+01;3.164852e-01;7.658661e+02;1.862411e-01;1.285815e+03;1.506811e-01;-1.571775e+02;-5.176247e-01;1.690740e+03;7.577964e-02;-1.541858e+02;-5.215364e-01;2.966582e+03;7.119476e-02;-1.567286e+02;-4.850551e-01;-7.586760e+00;-5.417646e-01;1.876579e+01;2.856767e-01;9.826107e-02;3.019879e-01;-1.385305e-02;-5.076202e-01;3.079668e+00;4.227114e+00;1.519690e-02;3.735804e-03;1.086957e+00;7.407407e-01;3.250000e-01;6.500000e-02;1.005000e+00;7.950000e-01
'../Datasets/UltraSuite/core-uxtd/core/23F/004B.wav23F';0.000000;0;0;0;0;0;0;0;0;0;0;1.019077e-01;1.543020e+00;4.660301e-02;4.793113e-02;4.947806e-02;2.875049e-03;5.230967e-01;0;-5.430058e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-2.172336e+00;1.005530e+01;-8.965238e-04;2.243217e-03;6.578947e-01;0;0;0;1.460000e+00;0
'../Datasets/UltraSuite/core-uxtd/core/23F/004B.wav23F';0.000000;3.765620e+01;2.467693e-02;3.689404e+01;3.788057e+01;3.826552e+01;1.371479e+00;9.935693e+01;1.258840e+02;6.488567e+00;3.553889e+00;5.255403e-01;5.499288e-01;2.132483e-01;5.196323e-01;8.358489e-01;6.226007e-01;1.018297e+01;3.113303e+00;2.054306e+00;1.960616e+00;2.809093e-02;2.772836e+00;7.817399e-01;8.239881e-01;8.217488e+00;5.830854e-01;-2.353811e+00;-1.477441e+00;1.565430e+01;6.039467e-01;6.625897e+02;3.119064e-01;1.281527e+03;1.968555e-01;-6.227427e+01;-1.390818e+00;1.617562e+03;1.451152e-01;-5.758775e+01;-1.392193e+00;2.591331e+03;1.805133e-01;-6.526122e+01;-1.160263e+00;-6.206160e+00;-5.150583e-01;1.852754e+01;2.918967e-01;1.071056e-01;2.095935e-01;-1.074496e-02;-5.788481e-01;2.071744e+00;2.986020e+00;2.040522e-02;7.206569e-04;3.092784e+00;2.197802e+00;3.300000e-01;6.000000e-02;2.000000e-01;0
'../Datasets/UltraSuite/core-uxtd/core/23F/005B.wav23F';0.000000;0;0;0;0;0;0;0;0;0;0;6.089253e-02;4.437086e-01;5.000057e-02;5.670031e-02;6.060898e-02;1.060841e-02;3.964328e-01;2.086555e-01;4.978452e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-4.096468e+00;1.155422e+01;3.100914e-04;-4.519793e-04;8.264464e-01;0;0;0;1.150000e+00;0
'../Datasets/UltraSuite/core-uxtd/core/23F/005B.wav23F';0.000000;3.759465e+01;2.322715e-02;3.668743e+01;3.764936e+01;3.837519e+01;1.687763e+00;5.277592e+00;1.115254e+00;7.022166e+00;5.783429e-01;5.470919e-01;4.423566e-01;3.393153e-01;5.804139e-01;6.931208e-01;3.538055e-01;7.083366e+00;3.774017e+00;1.596419e+00;1.300757e+00;1.730176e-02;1.036227e+00;1.215163e+00;1.143955e+00;8.478996e+00;5.652984e-01;-2.214023e+00;-1.367591e+00;1.499382e+01;5.001244e-01;7.037238e+02;2.445292e-01;1.348051e+03;1.684645e-01;-6.091529e+01;-1.462080e+00;1.638848e+03;1.174168e-01;-5.742530e+01;-1.432171e+00;2.761372e+03;1.318542e-01;-6.600317e+01;-1.169291e+00;-4.777762e+00;-8.227360e-01;1.685698e+01;3.384007e-01;9.687817e-02;2.239144e-01;-9.989974e-03;-6.359795e-01;1.018804e+01;-4.419231e+00;4.052392e-02;2.860843e-03;3.333333e+00;2.380952e+00;3.000000e-01;3.000000e-02;9.999999e-02;8.000000e-02
'../Datasets/UltraSuite/core-uxtd/core/23F/006B.wav23F';0.000000;3.748478e+01;9.245735e-03;3.729769e+01;3.738026e+01;3.751194e+01;2.142525e-01;1.109985e+01;0;-4.353504e+00;5.496853e+00;1.712083e-01;8.085541e-01;4.888779e-02;5.629728e-02;3.492784e-01;3.003906e-01;-4.499273e-01;5.740170e-01;1.377510e-01;0;6.784054e-03;1.651170e+00;3.966449e-01;1.814940e+00;1.380906e+01;1.528445e-01;2.599379e+01;1.322701e-01;2.580968e+01;1.245379e-01;5.751627e+02;2.098398e-01;1.379903e+03;1.553702e-01;-1.295008e+02;-6.683597e-01;1.628803e+03;1.698941e-01;-1.262961e+02;-6.507339e-01;2.610256e+03;1.462519e-01;-1.260887e+02;-6.523975e-01;-2.425089e+01;-1.904561e-01;2.979772e+01;1.411013e-01;1.001726e-01;1.399496e-01;-3.311324e-02;-1.416328e-01;-3.625896e+00;1.213963e+01;-1.250183e-02;2.445312e-03;6.849315e-01;7.142857e-01;6.200000e-01;0;7.600000e-01;0
'../Datasets/UltraSuite/core-uxtd/core/23F/006B.wav23F';0.000000;3.648349e+01;6.279758e-02;3.601871e+01;3.724202e+01;3.775366e+01;1.734943e+00;1.315821e+02;8.231052e+01;2.852305e+00;0;5.704901e-01;3.895300e-01;3.294016e-01;6.462690e-01;7.970662e-01;4.676646e-01;8.142313e+00;1.476732e+00;-5.698830e-02;1.060399e+00;2.111463e-02;2.209617e+00;4.496618e-01;1.093644e+00;1.064584e+01;3.440578e-01;8.760402e+00;1.326058e+00;2.260191e+01;3.417787e-01;7.435007e+02;2.312894e-01;1.348905e+03;1.192414e-01;-1.155494e+01;-2.654290e+00;1.695621e+03;1.221435e-01;-1.386975e+01;-1.954910e+00;2.830665e+03;1.332774e-01;-2.657025e+01;-9.623380e-01;-9.685950e+00;-5.418433e-01;1.679683e+01;3.312661e-01;1.170171e-01;2.468914e-01;-1.866531e-02;-6.565711e-01;-6.151774e+00;1.438789e+01;-2.325602e-02;9.828426e-03;2.439024e+00;1.315789e+00;7.300000e-01;0;0;0
'../Datasets/UltraSuite/core-uxtd/core/23F/007B.wav23F';0.000000;3.711892e+01;1.579143e-02;3.665173e+01;3.689137e+01;3.746014e+01;8.084183e-01;7.180301e+00;0;5.304809e+00;0;1.892157e-01;1.275506e+00;4.673883e-02;4.873856e-02;5.368667e-01;4.901278e-01;3.758385e+00;4.171809e+00;2.205167e+00;2.138337e+00;1.151554e-02;1.321508e+00;8.710275e-01;1.494175e+00;1.167735e+01;3.125275e-01;8.585774e+00;1.976820e-01;2.066479e+01;1.614404e-01;4.546951e+02;2.568335e-01;1.202948e+03;1.369858e-01;-1.564310e+02;-5.324010e-01;1.547731e+03;6.007450e-02;-1.537644e+02;-5.199468e-01;2.410461e+03;6.469648e-02;-1.541409e+02;-5.145758e-01;-1.160254e+01;-3.146844e-01;2.056888e+01;2.267817e-01;1.195562e-01;2.743063e-01;-2.902392e-02;-2.840644e-01;-3.795801e+00;1.213690e+01;-1.022144e-02;3.166111e-03;1.990050e+00;5.128205e-01;4.900000e-01;0;1.440000e+00;0
