name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength
'../Datasets/UltraSuite/core-uxtd/core/23F/001B_16.wav23F';0.000000;3.795890e+01;1.392720e-02;3.753915e+01;3.797186e+01;3.826997e+01;7.308197e-01;9.196688e+00;1.559833e+00;4.937016e-01;6.170112e+00;2.089169e-01;1.161401e+00;4.437793e-02;5.282474e-02;4.698530e-01;4.254751e-01;1.980569e+00;1.643341e+00;1.966963e+00;6.304051e-01;1.553453e-02;1.475017e+00;6.713356e-01;6.029347e-01;1.069910e+01;2.233795e-01;-6.841604e-01;-5.839263e+00;2.126879e+01;2.494849e-01;8.330942e+02;9.390628e-02;1.321968e+03;7.784104e-02;-1.373463e+02;-6.605959e-01;1.751476e+03;5.403835e-02;-1.385663e+02;-6.275644e-01;2.688881e+03;7.044602e-02;-1.429703e+02;-5.651419e-01;-8.291584e+00;-3.666530e-01;2.292584e+01;2.022094e-01;8.068135e-02;2.084420e-01;-4.714943e-03;-1.526465e+00;-4.492798e+00;1.225507e+01;9.044269e-03;1.929174e-02;9.900990e-01;1.025641e+00;3.150000e-01;8.500000e-02;6.400000e-01;4.100000e-01
'../Datasets/UltraSuite/core-uxtd/core/23F/002B_16.wav23F';0.000000;3.759626e+01;1.814044e-02;3.691605e+01;3.751125e+01;3.808048e+01;1.164429e+00;8.401032e+00;3.020195e+00;1.198040e+01;6.777239e-02;2.170649e-01;1.218627e+00;4.320408e-02;7.297876e-02;3.220330e-01;2.788290e-01;7.465131e+00;5.682339e+00;2.316855e+00;1.763268e+00;1.680367e-02;1.010627e+00;9.539333e-01;9.499595e-01;8.278401e+00;5.646033e-01;-2.099498e+00;-8.140535e-01;1.773240e+01;3.538539e-01;7.736061e+02;1.648906e-01;1.388109e+03;1.154321e-01;-1.649958e+02;-4.679602e-01;1.666304e+03;9.096770e-02;-1.630362e+02;-4.677461e-01;2.618050e+03;7.998522e-02;-1.658937e+02;-4.247700e-01;-5.405701e+00;-6.186573e-01;2.098722e+01;2.848803e-01;8.387462e-02;2.919371e-01;-6.505540e-04;-1.459915e+01;-1.075344e-01;7.515618e+00;1.322950e-02;2.132584e-02;1.176471e+00;5.988024e-01;3.150000e-01;8.500000e-02;1.335000e+00;1.145000e+00
'../Datasets/UltraSuite/core-uxtd/core/23F/003B_16.wav23F';0.000000;3.764511e+01;8.397395e-03;3.737391e+01;3.767496e+01;3.784679e+01;4.728813e-01;8.606177e+00;5.087160e+00;1.117698e+01;6.565061e+00;2.391458e-01;8.619331e-01;4.449646e-02;2.085021e-01;3.853021e-01;3.408056e-01;2.361812e+00;2.092805e+00;5.421762e-01;7.441697e-01;2.673769e-02;9.526736e-01;8.638452e-01;8.162122e-01;7.179122e+00;5.161333e-01;-9.372995e-01;-2.732565e+00;1.953591e+01;2.943101e-01;8.226590e+02;6.864263e-02;1.389591e+03;1.153305e-01;-1.587263e+02;-5.049340e-01;1.752520e+03;6.038005e-02;-1.592673e+02;-4.844080e-01;2.602446e+03;7.605257e-02;-1.613427e+02;-4.546481e-01;-7.776352e+00;-3.628656e-01;1.981011e+01;1.657754e-01;8.143178e-02;1.621388e-01;-8.943947e-03;-7.745178e-01;3.137975e+00;4.309991e+00;1.864776e-02;2.011457e-02;1.083032e+00;7.380074e-01;2.900000e-01;8.000000e-02;1.045000e+00;7.750000e-01
'../Datasets/UltraSuite/core-uxtd/core/23F/004B_16.wav23F';0.000000;0;0;0;0;0;0;0;0;0;0;9.110395e-02;1.545994e+00;4.187743e-02;4.306750e-02;4.449859e-02;2.621155e-03;4.682322e-01;0;-4.581833e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-2.056941e+00;9.883990e+00;6.365465e-03;2.182738e-02;6.535948e-01;0;0;0;1.470000e+00;0
'../Datasets/UltraSuite/core-uxtd/core/23F/004B_16.wav23F';0.000000;3.774957e+01;1.902854e-02;3.699776e+01;3.787880e+01;3.829842e+01;1.300663e+00;1.184814e+01;3.349806e+00;5.919947e+00;3.128880e+00;4.695182e-01;5.542231e-01;1.748595e-01;4.630691e-01;7.441837e-01;5.693241e-01;9.140722e+00;2.824357e+00;1.805465e+00;1.703516e+00;1.637349e-02;1.111818e+00;7.823747e-01;7.391138e-01;8.748033e+00;4.360156e-01;-2.384140e+00;-1.439217e+00;1.897534e+01;3.307341e-01;8.227659e+02;9.717550e-02;1.356771e+03;1.243712e-01;-6.104037e+01;-1.442830e+00;1.748105e+03;7.325394e-02;-6.378546e+01;-1.303575e+00;2.593156e+03;6.493521e-02;-7.310086e+01;-1.059484e+00;-5.797825e+00;-5.010273e-01;1.806419e+01;3.022987e-01;8.388154e-02;1.966050e-01;-6.384475e-03;-1.085891e+00;1.915533e+00;3.446749e+00;2.188649e-02;1.656803e-02;3.061225e+00;2.173913e+00;3.200000e-01;7.000000e-02;1.200000e-01;9.999999e-02
'../Datasets/UltraSuite/core-uxtd/core/23F/005B_16.wav23F';0.000000;0;0;0;0;0;0;0;0;0;0;5.603166e-02;5.232275e-01;4.471973e-02;5.059553e-02;5.465003e-02;9.930298e-03;5.759634e-01;3.428587e-01;2.463244e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;-201;0;0;0;-201;0;0;0;0;0;0;0;0;0;-4.002393e+00;1.153731e+01;7.954431e-03;1.857621e-02;8.196721e-01;0;0;0;1.160000e+00;0
'../Datasets/UltraSuite/core-uxtd/core/23F/005B_16.wav23F';0.000000;3.754985e+01;2.261930e-02;3.667485e+01;3.742607e+01;3.831277e+01;1.637920e+00;6.352186e+00;6.677747e-01;6.816810e+00;4.523199e-01;4.883527e-01;4.477684e-01;3.048019e-01;5.127155e-01;6.242763e-01;3.194744e-01;6.004967e+00;3.306276e+00;1.360037e+00;1.220764e+00;1.743623e-02;1.361908e+00;1.145761e+00;1.237062e+00;8.756629e+00;4.909775e-01;-2.296754e+00;-1.356851e+00;1.660395e+01;3.311008e-01;7.987779e+02;1.034747e-01;1.308675e+03;6.754273e-02;-6.063245e+01;-1.459137e+00;1.723214e+03;6.567124e-02;-6.116647e+01;-1.381771e+00;2.621608e+03;5.950935e-02;-7.065791e+01;-1.113183e+00;-4.661671e+00;-7.911355e-01;1.683019e+01;3.260554e-01;7.613109e-02;1.655153e-01;-6.331209e-03;-1.000790e+00;9.448815e+00;-3.420950e+00;3.584388e-02;1.710040e-02;3.296703e+00;2.352941e+00;2.950000e-01;4.500000e-02;1.100000e-01;8.000000e-02
'../Datasets/UltraSuite/core-uxtd/core/23F/006B_16.wav23F';0.000000;3.746797e+01;8.146555e-03;3.730173e+01;3.738478e+01;3.751675e+01;2.150116e-01;1.141586e+01;0;-3.881627e+00;4.921371e+00;1.525585e-01;8.082237e-01;4.400992e-02;5.090256e-02;3.120372e-01;2.680272e-01;-3.594647e-01;4.805540e-01;1.155401e-01;0;4.644480e-03;1.279141e+00;4.711998e-01;1.901928e+00;1.403019e+01;1.094163e-01;2.611459e+01;1.514433e-01;2.600210e+01;1.097219e-01;6.819302e+02;1.406049e-01;1.303906e+03;7.587881e-02;-1.270172e+02;-6.650930e-01;1.857579e+03;5.809912e-02;-1.255296e+02;-6.656666e-01;2.789833e+03;6.268488e-02;-1.267737e+02;-6.471583e-01;-2.437476e+01;-1.594478e-01;3.052333e+01;1.178729e-01;7.902673e-02;8.911351e-02;-2.019941e-02;-2.422857e-01;-3.390845e+00;1.199014e+01;5.363452e-04;2.239271e-02;6.802722e-01;7.092199e-01;6.200000e-01;0;7.700000e-01;0
'../Datasets/UltraSuite/core-uxtd/core/23F/006B_16.wav23F';0.000000;3.697228e+01;2.098424e-02;3.616302e+01;3.732719e+01;3.777677e+01;1.613750e+00;8.177509e+00;3.647328e+00;6.334154e+00;0;5.086825e-01;3.966988e-01;2.946559e-01;5.785855e-01;7.138969e-01;4.192409e-01;7.305591e+00;1.344456e+00;-6.320220e-02;9.632696e-01;1.161997e-02;1.066272e+00;4.581473e-01;8.076132e-01;1.105670e+01;2.328634e-01;9.015851e+00;1.277016e+00;1.964718e+01;3.278306e-01;8.240052e+02;8.440729e-02;1.328349e+03;6.499358e-02;-1.888165e+01;-2.477940e+00;1.821652e+03;4.337032e-02;-2.288790e+01;-1.965650e+00;2.544302e+03;7.471585e-02;-3.127455e+01;-1.369439e+00;-9.585887e+00;-5.101731e-01;1.535135e+01;3.617298e-01;9.189047e-02;7.315733e-02;-1.250122e-02;-6.808659e-01;-4.817851e+00;1.352868e+01;-6.477128e-03;2.401353e-02;2.409639e+00;1.298701e+00;7.100000e-01;0;4.000000e-02;0
'../Datasets/UltraSuite/core-uxtd/core/23F/007B_16.wav23F';0.000000;3.712185e+01;1.512773e-02;3.668153e+01;3.690205e+01;3.741910e+01;7.375679e-01;6.007894e+00;0;5.427654e+00;0;1.693343e-01;1.274585e+00;4.201940e-02;4.367114e-02;4.730791e-01;4.310597e-01;3.215578e+00;3.730261e+00;1.882742e+00;1.807294e+00;7.990364e-03;1.306266e+00;7.934657e-01;1.538439e+00;1.172412e+01;2.704689e-01;8.536893e+00;1.875779e-01;2.340918e+01;1.125117e-01;7.311142e+02;6.537676e-02;1.452931e+03;8.157503e-02;-1.512385e+02;-5.586336e-01;1.682758e+03;4.348744e-02;-1.525899e+02;-5.390595e-01;2.576333e+03;2.507760e-02;-1.550519e+02;-5.032003e-01;-1.170848e+01;-2.918065e-01;2.093694e+01;1.973876e-01;9.708235e-02;2.293633e-01;-2.276797e-02;-4.082988e-01;-3.699830e+00;1.194029e+01;-9.226918e-04;2.376229e-02;1.980198e+00;5.102041e-01;4.900000e-01;0;1.450000e+00;0
