frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.281885e+01
1;0.010023;-1.300848e+01
2;0.020045;-1.300594e+01
3;0.030068;-1.319213e+01
4;0.040091;-1.238901e+01
5;0.050113;-1.226343e+01
6;0.060136;-1.257954e+01
7;0.070159;-1.280437e+01
8;0.080181;-1.208086e+01
9;0.090204;-1.222525e+01
10;0.100227;-1.214744e+01
11;0.110249;-1.313458e+01
12;0.120272;-1.239219e+01
13;0.130295;-1.225785e+01
14;0.140317;-1.219687e+01
15;0.150340;-1.241377e+01
16;0.160363;-1.233146e+01
17;0.170385;-1.234139e+01
18;0.180408;-1.231184e+01
19;0.190431;-1.277807e+01
20;0.200454;-1.292381e+01
21;0.210476;-1.292886e+01
22;0.220499;-1.303000e+01
23;0.230522;-1.288686e+01
24;0.240544;-1.287956e+01
25;0.250567;-1.275281e+01
26;0.260590;-1.232615e+01
27;0.270612;-1.219096e+01
28;0.280635;-1.248340e+01
29;0.290658;-1.233358e+01
30;0.300680;-1.239541e+01
31;0.310703;-1.281106e+01
32;0.320726;-1.343474e+01
33;0.330748;-1.284557e+01
34;0.340771;-1.043998e+01
35;0.350794;-8.594485e+00
36;0.360816;-7.652156e+00
37;0.370839;-7.574977e+00
38;0.380862;-7.957636e+00
39;0.390884;-8.170753e+00
40;0.400907;-8.116293e+00
41;0.410930;-9.139118e+00
42;0.420952;-8.193442e+00
43;0.430975;-7.490700e+00
44;0.440998;-7.451498e+00
45;0.451020;-8.109928e+00
46;0.461043;-8.836980e+00
47;0.471066;-9.467683e+00
48;0.481088;-9.572945e+00
49;0.491111;-8.936403e+00
50;0.501134;-8.132869e+00
51;0.511156;-7.517548e+00
52;0.521179;-7.383992e+00
53;0.531202;-7.950204e+00
54;0.541224;-9.743891e+00
55;0.551247;-1.068981e+01
56;0.561270;-1.044985e+01
57;0.571293;-9.982788e+00
58;0.581315;-9.517146e+00
59;0.591338;-8.773446e+00
60;0.601361;-8.412508e+00
61;0.611383;-8.665199e+00
62;0.621406;-9.875948e+00
63;0.631429;-1.109156e+01
64;0.641451;-1.065305e+01
65;0.651474;-9.721338e+00
66;0.661497;-9.041741e+00
67;0.671519;-9.005631e+00
68;0.681542;-9.568401e+00
69;0.691565;-9.700072e+00
70;0.701587;-9.791608e+00
71;0.711610;-9.822852e+00
72;0.721633;-9.761762e+00
73;0.731655;-9.418555e+00
74;0.741678;-9.620696e+00
75;0.751701;-9.650109e+00
76;0.761723;-1.016944e+01
77;0.771746;-1.107785e+01
78;0.781769;-1.124551e+01
79;0.791791;-1.145768e+01
80;0.801814;-1.057150e+01
81;0.811837;-9.862211e+00
82;0.821859;-9.854183e+00
83;0.831882;-1.010923e+01
84;0.841905;-1.063907e+01
85;0.851927;-1.119377e+01
86;0.861950;-1.274442e+01
87;0.871973;-1.174900e+01
88;0.881995;-1.046013e+01
89;0.892018;-1.008888e+01
90;0.902041;-1.033427e+01
91;0.912063;-1.146603e+01
92;0.922086;-1.257686e+01
93;0.932109;-1.220229e+01
94;0.942132;-1.213498e+01
95;0.952154;-1.106641e+01
96;0.962177;-1.092251e+01
97;0.972200;-1.093208e+01
98;0.982222;-1.131757e+01
99;0.992245;-1.240100e+01
100;1.002268;-1.250242e+01
101;1.012290;-1.283343e+01
102;1.022313;-1.237958e+01
103;1.032336;-1.209440e+01
104;1.042358;-1.214117e+01
105;1.052381;-1.209866e+01
106;1.062404;-1.166329e+01
107;1.072426;-1.076659e+01
108;1.082449;-1.087005e+01
109;1.092472;-1.192425e+01
110;1.102494;-1.186880e+01
